idx,Country,Discipline,Medal,Medals
0,JPN,Boulder,Silver,7
1,JPN,Boulder,Gold,5
2,RUS,Speed,Bronze,5
3,JPN,Boulder,Bronze,4
4,FRA,Boulder,Bronze,4
5,SLO,Lead,Gold,4
6,JPN,Lead,Bronze,4
7,FRA,Speed,Gold,4
8,CZE,Lead,Gold,3
9,RUS,Speed,Silver,3
10,RUS,Speed,Gold,3
11,FRA,Speed,Silver,3
12,POL,Speed,Bronze,3
13,GBR,Boulder,Gold,2
14,SLO,Boulder,Gold,2
15,SLO,Boulder,Silver,2
16,KOR,Boulder,Gold,2
17,RUS,Boulder,Bronze,2
18,CZE,Boulder,Bronze,2
19,KOR,Lead,Silver,2
20,KOR,Lead,Gold,2
21,ITA,Lead,Silver,2
22,AUT,Lead,Bronze,2
23,SLO,Lead,Silver,2
24,USA,Lead,Silver,2
25,ESP,Lead,Silver,2
26,CAN,Lead,Bronze,2
27,CHN,Speed,Gold,2
28,INA,Speed,Silver,2
29,UKR,Speed,Bronze,2
30,INA,Speed,Bronze,2
31,USA,Boulder,Gold,1
32,CZE,Boulder,Silver,1
33,GBR,Boulder,Silver,1
34,GER,Boulder,Silver,1
35,AUT,Lead,Silver,1
36,AUT,Lead,Gold,1
37,FRA,Lead,Gold,1
38,BEL,Lead,Bronze,1
39,FRA,Lead,Silver,1
40,FRA,Lead,Bronze,1
41,SLO,Lead,Bronze,1
42,KOR,Lead,Bronze,1
43,ITA,Lead,Gold,1
44,ITA,Lead,Bronze,1
45,POL,Speed,Gold,1
46,UKR,Speed,Silver,1
47,IRI,Speed,Silver,1
48,ITA,Speed,Bronze,1
49,CZE,Speed,Silver,1
50,INA,Speed,Gold,1
51,USA,Speed,Gold,1
52,POL,Speed,Silver,1
